Year,NOC,Total,is_host,host_boost,host_boost_log,career_avg,delta_last,gdp_pc,gdp_pc_log,efficiency
1996,BDI,1,0,0.0,0.0,0.08333333333333333,0.0,143.156741187159,4.963940122207322,0.20145287319769858
2000,BDI,0,0,0.0,0.0,1.0,-1.0,134.537861752389,4.90184565944596,0.0
2004,BDI,0,0,0.0,0.0,0.5,0.0,125.194965184533,4.82987224367634,0.0
2008,BDI,0,0,0.0,0.0,0.3333333333333333,0.0,189.502074570768,5.244399972065554,0.0
2012,BDI,0,0,0.0,0.0,0.25,0.0,231.098787811507,5.442845271968037,0.0
2016,BDI,1,0,0.0,0.0,0.2,1.0,232.937812100153,5.4507715170836155,0.1834602673889073
1900,BEL,18,0,0.0,0.0,0.3333333333333333,0.0,,,
1906,BEL,7,0,0.0,0.0,18.0,-11.0,,,
1908,BEL,8,0,0.0,0.0,12.5,1.0,,,
1912,BEL,6,0,0.0,0.0,11.0,-2.0,,,
1920,BEL,42,1,34.0,6.059591133773239,9.75,36.0,,,
1924,BEL,14,0,0.0,0.0,16.2,-28.0,,,
1928,BEL,4,0,0.0,0.0,15.833333333333334,-10.0,,,
1932,BEL,1,0,0.0,0.0,14.142857142857142,-3.0,,,
1936,BEL,3,0,0.0,0.0,12.5,2.0,,,
1948,BEL,9,0,0.0,0.0,11.444444444444445,6.0,,,
1952,BEL,4,0,0.0,0.0,11.2,-5.0,,,
1956,BEL,2,0,0.0,0.0,10.545454545454545,-2.0,,,
1960,BEL,4,0,0.0,0.0,9.833333333333334,2.0,1290.28607216192,7.16261923413613,0.5584549267866299
1964,BEL,3,0,0.0,0.0,9.384615384615385,-1.0,1724.01894179056,7.452413438280774,0.40255415575710213
1968,BEL,2,0,0.0,0.0,8.928571428571429,-1.0,2251.31575906782,7.719270106088135,0.25909185357079473
1972,BEL,2,0,0.0,0.0,8.466666666666667,0.0,3831.63189999433,8.251046074976307,0.24239350766269271
1976,BEL,6,0,0.0,0.0,8.0625,4.0,7243.04734119583,8.887797300304827,0.6750829026888604
1980,BEL,1,0,0.0,0.0,7.9411764705882355,-5.0,12864.0025661396,9.462188190900973,0.10568379954243774
1984,BEL,4,0,0.0,0.0,7.555555555555555,3.0,8457.26880316374,9.042781563971879,0.4423417696980255
1988,BEL,2,0,0.0,0.0,7.368421052631579,-2.0,16391.093827791,9.704493407021156,0.2060900982789075
1992,BEL,3,0,0.0,0.0,7.1,1.0,23372.619171015,10.059320495323036,0.2982308796498546
1994,BEL,0,0,0.0,0.0,6.904761904761905,-3.0,24208.5547931447,10.094461353525968,0.0
1996,BEL,6,0,0.0,0.0,6.590909090909091,6.0,27489.5551770488,10.221561399764234,0.5869944683929007
1998,BEL,1,0,0.0,0.0,6.565217391304348,-5.0,25338.4432934904,10.14007801921341,0.09861857059730714
2000,BEL,5,0,0.0,0.0,6.333333333333333,4.0,23098.8865077401,10.047539692219942,0.4976342620344783
2002,BEL,0,0,0.0,0.0,6.28,-5.0,25006.191397109,10.126878729073042,0.0
2004,BEL,3,0,0.0,0.0,6.038461538461538,3.0,35429.4077933344,10.475297482883086,0.286388048158258
2006,BEL,0,0,0.0,0.0,5.925925925925926,-3.0,38705.1067959147,10.563726828862876,0.0
2008,BEL,2,0,0.0,0.0,5.714285714285714,2.0,48303.397956286,10.785257188227966,0.18543832243360744
2010,BEL,0,0,0.0,0.0,5.586206896551724,-2.0,44197.393671162,10.696421099611392,0.0
2012,BEL,3,0,0.0,0.0,5.4,3.0,44874.1709182123,10.711617650259736,0.2800697427738429
2014,BEL,0,0,0.0,0.0,5.32258064516129,-3.0,47995.7786961339,10.7788683421922,0.0
2016,BEL,6,0,0.0,0.0,5.15625,6.0,41854.5498296444,10.641955787562523,0.563806138624662
2020,BEL,7,0,0.0,0.0,5.181818181818182,1.0,45906.2875805246,10.734357370992296,0.6521116968693685
2024,BEL,8,0,0.0,0.0,5.235294117647059,1.0,56614.5679499036,10.94402161534754,0.7309927082728949
1972,BEN,0,0,0.0,0.0,5.314285714285714,0.0,127.927157014331,4.851461016103279,0.0
1980,BEN,0,0,0.0,0.0,0.0,0.0,358.003054209903,5.880541517676887,0.0
1984,BEN,0,0,0.0,0.0,0.0,0.0,238.574457355381,5.4746814517764975,0.0
1988,BEN,0,0,0.0,0.0,0.0,0.0,326.179757700303,5.787448633388049,0.0
1992,BEN,0,0,0.0,0.0,0.0,0.0,301.77329696287,5.709676063170952,0.0
1996,BEN,0,0,0.0,0.0,0.0,0.0,369.394384135736,5.911864864985084,0.0
